system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
our+AF8-system,50,417,262144,132.757666,103.183615
our+AF8-system,50,418,262144,138.989,101.038804
our+AF8-system,50,419,262144,118.671666,109.462667
our+AF8-system,50,420,262144,139.135666,109.713043
our+AF8-system,50,421,262144,168.546666,92.221071
our+AF8-system,50,422,262144,138.866666,118.099099
our+AF8-system,50,423,262144,132.717666,106.880344
our+AF8-system,50,424,262144,124.055666,111.68813
our+AF8-system,50,425,262144,110.451333,102.54951
our+AF8-system,50,426,262144,143.780333,96.52866
our+AF8-system,50,427,262144,126.310333,76.645669
our+AF8-system,50,428,262144,116.372,89.421357
our+AF8-system,50,429,262144,157.143333,103.856203
our+AF8-system,50,430,262144,194.443333,115.178925
our+AF8-system,50,431,262144,206.970666,119.630845
our+AF8-system,50,432,262144,107.139333,89.469237
our+AF8-system,50,433,262144,120.782666,95.174219
our+AF8-system,50,434,262144,142.711666,102.781032
our+AF8-system,50,435,262144,182.905666,110.594333
our+AF8-system,50,436,262144,123.642,97.588199
our+AF8-system,50,437,262144,153.183666,93.226137
our+AF8-system,50,438,262144,152.124,95.884564
our+AF8-system,50,439,262144,124.520333,92.534431
our+AF8-system,50,440,262144,98.426,109.802797
our+AF8-system,50,441,262144,114.556333,91.347178
our+AF8-system,50,442,262144,154.524,82.148845
our+AF8-system,50,443,262144,203.292666,91.372164
our+AF8-system,50,444,262144,230.667666,101.531891
our+AF8-system,50,445,262144,216.548666,93.186551
our+AF8-system,50,446,262144,187.793,118.291522
our+AF8-system,50,447,262144,180.025666,119.910114
our+AF8-system,50,448,262144,211.242,124.87783
our+AF8-system,50,449,262144,192.614666,99.13308
our+AF8-system,50,450,262144,125.260666,108.261503
our+AF8-system,50,451,262144,126.629,108.357488
our+AF8-system,50,452,262144,127.701333,81.645631
our+AF8-system,50,453,262144,127.842666,96.174104
our+AF8-system,50,454,262144,110.423666,101.475671
our+AF8-system,50,455,262144,122.233666,97.514944
our+AF8-system,50,456,262144,133.572666,85.536346
our+AF8-system,50,457,262144,140.477666,99.531014
our+AF8-system,50,458,262144,169.112333,86.983487
our+AF8-system,50,459,262144,195.954,96.179375
our+AF8-system,50,460,262144,217.824,93.633652
our+AF8-system,50,461,262144,214.539666,111.248916
